x,y,color
0.0,-1.5,blue
0.0,1.5,yellow
5.0,-1.5,blue
5.0,1.5,yellow
10.0,-1.5,blue
10.0,1.5,yellow
15.0,-1.5,blue
15.0,1.5,yellow
20.0,-1.5,blue
20.0,1.5,yellow
25.0,-1.5,blue
25.0,1.5,yellow
30.0,-1.5,blue
30.0,1.5,yellow
35.0,-1.5,blue
35.0,1.5,yellow
40.0,-1.5,blue
40.0,1.5,yellow
45.0,-1.5,blue
45.0,1.5,yellow
50.0,-1.5,blue
50.0,1.5,yellow
55.0,-1.5,blue
55.0,1.5,yellow
60.0,-1.5,blue
60.0,1.5,yellow
65.0,-1.5,blue
65.0,1.5,yellow
70.0,-1.5,blue
70.0,1.5,yellow
75.0,-1.5,blue
75.0,1.5,yellow
80.0,-1.5,blue
80.0,1.5,yellow
85.0,-1.5,blue
85.0,1.5,yellow
90.0,-1.5,blue
90.0,1.5,yellow
95.0,-1.5,blue
95.0,1.5,yellow
100.0,-1.5,blue
100.0,1.5,yellow
105.0,-1.5,blue
105.0,1.5,yellow
110.0,-1.5,blue
110.0,1.5,yellow
115.0,-1.5,blue
115.0,1.5,yellow
120.0,-1.5,blue
120.0,1.5,yellow
125.0,-1.5,blue
125.0,1.5,yellow
130.0,-1.5,blue
130.0,1.5,yellow
135.0,-1.5,blue
135.0,1.5,yellow
140.0,-1.5,blue
140.0,1.5,yellow
145.0,-1.5,blue
145.0,1.5,yellow
150.0,-1.5,blue
150.0,1.5,yellow
