x,y
1.802392,23.440755
4.316115,23.835136
5.823033,24.685026
7.329950,25.534917
8.836868,26.384807
10.343785,27.234698
11.850702,28.084588
13.433490,28.735549
15.071999,29.240411
16.762668,29.476821
18.492345,29.370383
20.220490,29.256375
21.870986,28.755072
23.508579,28.188467
25.027310,27.393250
26.443403,26.396712
27.835714,25.371683
28.972661,24.066690
30.109607,22.761696
31.133124,21.371283
31.988425,19.866908
32.843725,18.362534
33.529358,16.774010
34.106708,15.143215
34.643564,13.499243
35.025418,11.812794
35.292895,10.106153
35.455995,8.385194
35.426279,6.663537
35.271591,4.950587
34.831794,3.289187
34.216095,1.696327
33.197616,0.345120
32.049639,-0.916933
30.665995,-1.891185
29.168922,-2.742779
27.631235,-3.515803
25.999300,-4.088037
24.367365,-4.660270
22.707716,-5.153548
21.040289,-5.625894
19.372862,-6.098240
17.714009,-6.593565
16.093507,-7.190980
14.487599,-7.826761
12.997225,-8.690152
11.550490,-9.619205
10.408535,-10.916776
9.576491,-12.415983
8.921516,-14.014171
8.634609,-15.723258
8.347703,-17.432346
8.041747,-19.138051
7.723984,-20.841661
7.234686,-22.488701
6.337631,-23.964093
5.153230,-25.210852
3.813295,-26.308564
2.294063,-27.118407
0.705432,-27.811001
-0.904765,-28.433078
-2.605797,-28.764005
-4.306829,-29.094932
-6.021020,-29.283914
-7.753526,-29.283503
-9.486032,-29.283091
-11.183968,-28.997394
-12.866412,-28.591214
-14.512378,-28.086336
-16.016621,-27.237889
-17.509603,-26.371523
-18.783802,-25.211463
-20.005716,-23.994620
-21.106485,-22.662486
-21.986259,-21.182990
-22.809559,-19.670135
-23.427692,-18.062373
-23.901353,-16.414508
-24.193617,-14.710497
-24.232427,-13.003929
-24.116385,-11.290577
-23.894216,-9.574673
-23.576548,-7.876777
-23.154520,-6.195903
-22.759337,-4.510542
-22.506384,-2.799747
-22.281616,-1.082984
-22.252452,0.628079
-22.586446,2.318142
-23.313741,3.874925
-24.493863,5.134582
-25.724713,6.354604
-26.954194,7.576004
-28.182635,8.798451
-29.212023,10.175428
-29.804349,11.791799
-29.980068,13.504733
-29.808730,15.226540
-29.200886,16.839997
-28.267850,18.268856
-27.010143,19.390385
-25.511879,20.122670
-23.887574,20.489541
-22.208990,20.573522
-20.577875,20.249856
-18.953902,19.753102
-17.379700,19.091352
-15.859230,18.271055
-14.373380,17.387788
-12.872239,16.536623
-11.336689,15.776829
-9.720738,15.285158
-8.096286,15.028935
-6.443890,15.335213
-4.884664,16.064249
-3.499230,17.097091
-2.158163,18.189759
-0.922497,19.402843
0.265534,20.664235
1.498308,21.870808
1.802392,23.440755
