x,y
0.188,-0.219
1.180,-0.092
2.178,-0.019
3.178,0.000
4.179,0.000
5.180,0.000
6.180,0.000
7.181,0.000
8.182,0.000
9.182,0.000
10.183,0.000
11.184,0.000
12.184,0.000
13.185,0.000
14.186,0.000
15.186,0.000
16.187,0.000
17.188,0.000
18.188,0.000
19.189,0.000
20.190,0.000
21.190,0.000
22.191,0.000
23.192,0.000
24.193,0.000
25.193,0.000
26.194,0.000
27.195,0.000
28.195,0.000
29.196,0.000
30.197,0.000
31.197,0.000
32.198,0.000
33.199,-0.000
34.198,-0.042
35.193,-0.147
36.178,-0.325
37.144,-0.583
38.083,-0.927
38.985,-1.360
39.843,-1.874
40.651,-2.464
41.406,-3.120
42.105,-3.836
42.741,-4.608
43.294,-5.442
43.755,-6.329
44.121,-7.260
44.392,-8.223
44.577,-9.206
44.696,-10.200
44.748,-11.199
44.729,-12.199
44.635,-13.195
44.463,-14.181
44.210,-15.148
43.872,-16.090
43.450,-16.997
42.947,-17.861
42.366,-18.676
41.709,-19.430
40.986,-20.121
40.209,-20.751
39.389,-21.324
38.533,-21.843
37.653,-22.320
36.762,-22.775
35.862,-23.211
34.952,-23.629
34.035,-24.029
33.110,-24.411
32.179,-24.777
31.240,-25.123
30.292,-25.442
29.335,-25.735
28.370,-25.998
27.396,-26.230
26.415,-26.427
25.427,-26.586
24.431,-26.680
23.431,-26.697
22.433,-26.625
21.449,-26.449
20.491,-26.161
19.559,-25.798
18.648,-25.384
17.756,-24.929
16.883,-24.441
16.026,-23.924
15.182,-23.387
14.342,-22.843
13.505,-22.294
12.673,-21.739
11.844,-21.178
11.019,-20.612
10.198,-20.039
9.375,-19.470
8.547,-18.908
7.715,-18.353
6.877,-17.806
6.032,-17.270
5.160,-16.780
4.238,-16.391
3.274,-16.127
2.282,-16.006
1.283,-16.041
0.303,-16.238
-0.632,-16.591
-1.503,-17.081
-2.301,-17.683
-3.011,-18.388
-3.626,-19.176
-4.147,-20.030
-4.579,-20.932
-4.913,-21.875
-5.142,-22.848
-5.269,-23.840
-5.299,-24.840
-5.242,-25.839
-5.190,-26.838
-5.203,-27.838
-5.276,-28.836
-5.406,-29.828
-5.590,-30.812
-5.823,-31.785
-6.090,-32.749
-6.391,-33.704
-6.725,-34.647
-7.095,-35.576
-7.502,-36.490
-7.940,-37.390
-8.339,-38.308
-8.670,-39.252
-8.905,-40.224
-9.000,-41.219
-8.909,-42.214
-8.649,-43.179
-8.257,-44.099
-7.768,-44.972
-7.206,-45.799
-6.579,-46.579
-5.893,-47.307
-5.153,-47.980
-4.367,-48.599
-3.535,-49.154
-2.661,-49.641
-1.754,-50.063
-0.819,-50.420
0.136,-50.719
1.104,-50.970
2.081,-51.188
3.064,-51.375
4.052,-51.531
5.045,-51.657
6.041,-51.753
7.040,-51.815
8.040,-51.834
9.040,-51.808
10.038,-51.736
11.032,-51.617
12.019,-51.454
13.014,-51.348
14.014,-51.344
15.009,-51.447
15.986,-51.659
16.935,-51.974
17.850,-52.379
18.725,-52.863
19.553,-53.425
20.325,-54.060
21.037,-54.763
21.691,-55.520
22.312,-56.305
22.903,-57.112
23.469,-57.938
24.012,-58.778
24.533,-59.632
25.037,-60.497
25.525,-61.371
25.996,-62.254
26.447,-63.147
26.877,-64.050
27.280,-64.966
27.651,-65.895
27.951,-66.850
28.135,-67.832
28.144,-68.831
27.889,-69.794
27.377,-70.651
26.677,-71.364
25.859,-71.938
24.961,-72.376
24.007,-72.677
23.025,-72.867
22.030,-72.968
21.030,-73.000
20.030,-72.975
19.032,-72.898
18.039,-72.775
17.052,-72.609
16.073,-72.405
15.101,-72.166
14.138,-71.895
13.180,-71.605
12.228,-71.298
11.281,-70.975
10.340,-70.635
9.404,-70.279
8.475,-69.908
7.552,-69.522
6.632,-69.128
5.712,-68.734
4.792,-68.340
3.873,-67.945
2.953,-67.551
2.033,-67.157
1.113,-66.763
0.194,-66.367
-0.715,-65.949
-1.611,-65.504
-2.494,-65.034
-3.364,-64.539
-4.221,-64.022
-5.064,-63.484
-5.895,-62.925
-6.712,-62.348
-7.515,-61.751
-8.304,-61.135
-9.077,-60.500
-9.836,-59.847
-10.578,-59.177
-11.305,-58.489
-12.015,-57.784
-12.709,-57.063
-13.388,-56.328
-14.059,-55.585
-14.723,-54.837
-15.379,-54.082
-16.028,-53.319
-16.668,-52.550
-17.300,-51.774
-17.923,-50.992
-18.537,-50.201
-19.137,-49.400
-19.716,-48.584
-20.273,-47.753
-20.807,-46.907
-21.316,-46.045
-21.799,-45.169
-22.251,-44.276
-22.671,-43.368
-23.046,-42.441
-23.372,-41.495
-23.648,-40.533
-23.873,-39.558
-24.050,-38.573
-24.179,-37.581
-24.261,-36.584
-24.310,-35.584
-24.332,-34.584
-24.328,-33.583
-24.300,-32.583
-24.247,-31.584
-24.170,-30.586
-24.070,-29.590
-23.948,-28.597
-23.803,-27.607
-23.636,-26.620
-23.447,-25.638
-23.237,-24.660
-23.005,-23.686
-22.753,-22.718
-22.480,-21.755
-22.187,-20.798
-21.871,-19.849
-21.532,-18.907
-21.169,-17.975
-20.781,-17.052
-20.369,-16.141
-19.933,-15.240
-19.472,-14.352
-18.987,-13.477
-18.475,-12.617
-17.934,-11.775
-17.361,-10.955
-16.755,-10.159
-16.113,-9.391
-15.436,-8.654
-14.722,-7.953
-13.975,-7.287
-13.207,-6.647
-12.419,-6.029
-11.613,-5.436
-10.790,-4.868
-9.950,-4.324
-9.094,-3.805
-8.225,-3.310
-7.342,-2.839
-6.445,-2.395
-5.535,-1.979
-4.612,-1.591
-3.677,-1.235
-2.730,-0.912
-1.770,-0.632
-0.796,-0.400
0.188,-0.219
