x,y,color
-2.0,2.0,blue
4.0,2.0,blue
10.0,2.0,blue
16.0,2.0,blue
22.0,2.0,blue
28.0,2.0,blue
34.0,2.0,blue
40.0,1.0,blue
45.0,-4.0,blue
47.0,-10.0,blue
46.0,-16.0,blue
42.0,-22.0,blue
36.0,-25.0,blue
29.0,-28.0,blue
23.0,-29.0,blue
18.0,-28.0,blue
12.0,-24.0,blue
7.0,-20.0,blue
3.0,-18.0,blue
-1.0,-18.0,blue
-4.0,-20.0,blue
-5.0,-25.0,blue
-4.0,-30.0,blue
-6.0,-35.0,blue
-9.0,-40.0,blue
-8.0,-44.0,blue
-5.0,-48.0,blue
0.0,-50.0,blue
8.0,-50.0,blue
14.0,-49.0,blue
20.0,-51.0,blue
24.0,-55.0,blue
28.0,-62.0,blue
30.0,-68.0,blue
29.0,-72.0,blue
25.0,-75.0,blue
19.0,-76.0,blue
12.0,-74.0,blue
5.0,-72.0,blue
-2.0,-69.0,blue
-10.0,-64.0,blue
-16.0,-58.0,blue
-22.0,-51.0,blue
-26.0,-44.0,blue
-27.0,-38.0,blue
-27.0,-29.0,blue
-25.0,-20.0,blue
-22.0,-12.0,blue
-18.0,-7.0,blue
-12.0,-3.0,blue
-6.0,-1.0,blue
0.0,-2.0,yellow
6.0,-2.0,yellow
12.0,-2.0,yellow
18.0,-2.0,yellow
24.0,-2.0,yellow
30.0,-2.0,yellow
36.0,-2.0,yellow
40.0,-3.0,yellow
43.0,-7.0,yellow
43.0,-12.0,yellow
41.0,-17.0,yellow
37.0,-21.0,yellow
31.0,-24.0,yellow
25.0,-25.0,yellow
20.0,-24.0,yellow
15.0,-21.0,yellow
10.0,-17.0,yellow
5.0,-14.0,yellow
1.0,-14.0,yellow
-4.0,-15.0,yellow
-7.0,-19.0,yellow
-8.0,-24.0,yellow
-7.0,-29.0,yellow
-8.0,-34.0,yellow
-11.0,-39.0,yellow
-11.0,-42.0,yellow
-9.0,-46.0,yellow
-5.0,-50.0,yellow
0.0,-53.0,yellow
8.0,-54.0,yellow
14.0,-53.0,yellow
19.0,-55.0,yellow
22.0,-59.0,yellow
25.0,-64.0,yellow
27.0,-68.0,yellow
26.0,-70.0,yellow
23.0,-71.0,yellow
17.0,-70.0,yellow
10.0,-68.0,yellow
3.0,-65.0,yellow
-4.0,-61.0,yellow
-10.0,-56.0,yellow
-16.0,-49.0,yellow
-20.0,-43.0,yellow
-22.0,-37.0,yellow
-22.0,-29.0,yellow
-20.0,-21.0,yellow
-17.0,-13.0,yellow
-13.0,-8.0,yellow
-8.0,-4.0,yellow
-3.0,-2.0,yellow
-1.0,3.0,orange
-1.0,-3.0,orange
3.0,3.0,orange
3.0,-3.0,orange
